"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability"
0,20,1,0,0,0,0,0.000272516691647363
0,20,1,0,1,0,1,0.496389153835672
0,20,1,0,1,0,2,0.503065812781033
0,20,1,0,1,0,3,0.000272516691647363
0,20,1,1,1,1,1,0.428641490926925
0,20,1,1,2,1,1,0.290828837665522
0,20,1,2,1,1,1,0.0662177328843996
0,20,1,2,2,1,1,0.710233649627589
0,20,1,2,3,1,1,0.030405060708091
0,20,1,3,2,1,1,0.326923076923077
0,20,1,3,3,1,1,0.576923076923077
0,20,1,1,1,1,2,0.230995586071604
0,20,1,1,2,1,2,0.049534085335949
0,20,1,2,1,1,2,0.03601673298643
0,20,1,2,2,1,2,0.156718702173248
0,20,1,2,3,1,2,0.000408121620242832
0,20,1,3,2,1,2,0.0769230769230769
0,20,1,3,3,1,2,0.0192307692307692
0,20,1,1,1,2,1,0.0168297455968689
0,20,1,1,2,2,1,0.0125244618395303
0,20,1,2,1,2,1,0.00472162108990754
0,20,1,2,2,2,1,0.0600039346842416
0,20,1,2,3,2,1,0.00118040527247688
0,20,1,3,2,2,1,0.119158878504673
0,20,1,3,3,2,1,0.156542056074766
0,20,1,1,1,2,2,0.76986301369863
0,20,1,1,2,2,2,0.200782778864971
0,20,1,2,1,2,2,0.101514853433012
0,20,1,2,2,2,2,0.829497016197783
0,20,1,2,3,2,2,0.00308216932257853
0,20,1,3,2,2,2,0.401869158878505
0,20,1,3,3,2,2,0.322429906542056
0,20,1,2,2,3,2,0.710344827586207
0,20,1,2,2,3,3,0.282758620689655
0,20,1,2,3,3,3,0.00689655172413793
0,20,2,0,0,0,0,0.00076990761108667
0,20,2,0,1,0,1,0.522327320721513
0,20,2,0,1,0,2,0.476022877254729
0,20,2,0,1,0,3,0.00087989441267048
0,20,2,1,1,1,1,0.462424242424242
0,20,2,1,2,1,1,0.327878787878788
0,20,2,2,1,1,1,0.0804376169151409
0,20,2,2,2,1,1,0.713281560002268
0,20,2,2,3,1,1,0.0355422028229692
0,20,2,3,2,1,1,0.241379310344828
0,20,2,3,3,1,1,0.543103448275862
0,20,2,1,1,1,2,0.167272727272727
0,20,2,1,2,1,2,0.0424242424242424
0,20,2,2,1,1,2,0.0427413411938099
0,20,2,2,2,1,2,0.126466753585398
0,20,2,2,3,1,2,0.00153052548041494
0,20,2,3,2,1,2,0.112068965517241
0,20,2,3,3,1,2,0.103448275862069
0,20,2,1,1,2,1,0.0160843039378813
0,20,2,1,2,2,1,0.0122018857459789
0,20,2,2,1,2,1,0.00491543135812981
0,20,2,2,2,2,1,0.0938963501954561
0,20,2,2,3,2,1,0.00143205480512443
0,20,2,3,2,2,1,0.185294117647059
0,20,2,3,3,2,1,0.182352941176471
0,20,2,1,1,2,2,0.742651136993899
0,20,2,1,2,2,2,0.229062673322241
0,20,2,2,1,2,2,0.0622363277470295
0,20,2,2,2,2,2,0.827727677361923
0,20,2,2,3,2,2,0.00963734179664822
0,20,2,3,2,2,2,0.316176470588235
0,20,2,3,3,2,2,0.316176470588235
0,20,2,2,2,2,3,0.000154816735689128
0,20,2,2,2,3,1,0.0232558139534884
0,20,2,3,3,3,1,0.0384615384615385
0,20,2,1,1,3,2,0.933333333333333
0,20,2,2,1,3,2,0.00116279069767442
0,20,2,2,2,3,2,0.616279069767442
0,20,2,2,3,3,2,0.022093023255814
0,20,2,3,2,3,2,0.153846153846154
0,20,2,3,3,3,2,0.615384615384615
0,20,2,1,1,3,3,0.0666666666666667
0,20,2,2,2,3,3,0.32906976744186
0,20,2,2,3,3,3,0.00813953488372093
0,20,2,3,3,3,3,0.192307692307692
0,20,3,0,0,0,0,0.000299535719634566
0,20,3,0,1,0,1,0.654036243822076
0,20,3,0,1,0,2,0.345214916878838
0,20,3,0,1,0,3,0.00044930357945185
0,20,3,1,1,1,1,0.591133004926108
0,20,3,1,2,1,1,0.263546798029557
0,20,3,2,1,1,1,0.0913630086051206
0,20,3,2,2,1,1,0.736428343779879
0,20,3,2,3,1,1,0.0224158079252098
0,20,3,3,2,1,1,0.298701298701299
0,20,3,3,3,1,1,0.467532467532468
0,20,3,1,1,1,2,0.119211822660099
0,20,3,1,2,1,2,0.0261083743842365
0,20,3,2,1,1,2,0.0279400828641241
0,20,3,2,2,1,2,0.121534048656114
0,20,3,2,3,1,2,0.000318708169552746
0,20,3,3,2,1,2,0.181818181818182
0,20,3,3,3,1,2,0.051948051948052
0,20,3,1,1,2,1,0.0257890685142417
0,20,3,1,2,2,1,0.00615858352578907
0,20,3,2,1,2,1,0.0072215887495249
0,20,3,2,2,2,1,0.128214873938933
0,20,3,2,3,2,1,0.00354744710502977
0,20,3,3,2,2,1,0.232876712328767
0,20,3,3,3,2,1,0.301369863013699
0,20,3,1,1,2,2,0.817936874518861
0,20,3,1,2,2,2,0.150115473441109
0,20,3,2,1,2,2,0.0656277714430508
0,20,3,2,2,2,2,0.787913340935006
0,20,3,2,3,2,2,0.00747497782845559
0,20,3,3,2,2,2,0.23972602739726
0,20,3,3,3,2,2,0.226027397260274
0,20,3,2,2,3,2,0.854838709677419
0,20,3,2,2,3,3,0.145161290322581
0,20,4,0,0,0,0,0.000846919330933729
0,20,4,0,1,0,1,0.74211306373068
0,20,4,0,1,0,2,0.256828287105653
0,20,4,0,1,0,3,0.000211729832733432
0,20,4,1,1,1,1,0.647485493230174
0,20,4,1,2,1,1,0.269342359767892
0,20,4,2,1,1,1,0.124253379440428
0,20,4,2,2,1,1,0.771062558943728
0,20,4,2,3,1,1,0.0154825526563974
0,20,4,3,2,1,1,0.305986696230599
0,20,4,3,3,1,1,0.634146341463415
0,20,4,1,1,1,2,0.0701160541586073
0,20,4,1,2,1,2,0.0130560928433269
0,20,4,2,1,1,2,0.0132819867966048
0,20,4,2,2,1,2,0.0757623388871424
0,20,4,2,3,1,2,0.000157183275699466
0,20,4,3,2,1,2,0.0310421286031042
0,20,4,3,3,1,2,0.0288248337028825
0,20,4,1,1,2,1,0.0339892665474061
0,20,4,1,2,2,1,0.0143112701252236
0,20,4,2,1,2,1,0.0122791254866727
0,20,4,2,2,2,1,0.256064690026954
0,20,4,2,3,2,1,0.00494159928122192
0,20,4,3,2,2,1,0.232
0,20,4,3,3,2,1,0.424
0,20,4,1,1,2,2,0.756708407871199
0,20,4,1,2,2,2,0.194991055456172
0,20,4,2,1,2,2,0.0519616651692123
0,20,4,2,2,2,2,0.672057502246181
0,20,4,2,3,2,2,0.00269541778975741
0,20,4,3,2,2,2,0.136
0,20,4,3,3,2,2,0.208
0,20,5,0,0,0,0,0.000725163161711385
0,20,5,0,1,0,1,0.777737490935461
0,20,5,0,1,0,2,0.221537345902828
0,20,5,1,1,1,1,0.702680067001675
0,20,5,1,2,1,1,0.228643216080402
0,20,5,2,1,1,1,0.0797416818756142
0,20,5,2,2,1,1,0.834479853994104
0,20,5,2,3,1,1,0.019654639898919
0,20,5,3,2,1,1,0.184331797235023
0,20,5,3,3,1,1,0.792626728110599
0,20,5,1,1,1,2,0.0527638190954774
0,20,5,1,2,1,2,0.0159128978224456
0,20,5,2,1,1,2,0.00828302681454443
0,20,5,2,2,1,2,0.0578407974168188
0,20,5,3,2,1,2,0.0138248847926267
0,20,5,3,3,1,2,0.00921658986175115
0,20,5,1,1,2,1,0.0798816568047337
0,20,5,1,2,2,1,0.0207100591715976
0,20,5,2,1,2,1,0.0164271047227926
0,20,5,2,2,2,1,0.306541507773541
0,20,5,2,3,2,1,0.00557348195951892
0,20,5,3,2,2,1,0.25
0,20,5,3,3,2,1,0.625
0,20,5,1,1,2,2,0.760355029585799
0,20,5,1,2,2,2,0.13905325443787
0,20,5,2,1,2,2,0.0384276914051041
0,20,5,2,2,2,2,0.63273687298328
0,20,5,2,3,2,2,0.000293341155764154
0,20,5,3,2,2,2,0.0625
0,20,5,3,3,2,2,0.0625
0,20,6,0,0,0,0,0.000246487552378605
0,20,6,0,1,0,1,0.726891791964506
0,20,6,0,1,0,2,0.272861720483116
0,20,6,1,1,1,1,0.680392156862745
0,20,6,1,2,1,1,0.250490196078431
0,20,6,2,1,1,1,0.129631274988894
0,20,6,2,2,1,1,0.779564637938694
0,20,6,2,3,1,1,0.0189249222567748
0,20,6,3,2,1,1,0.398809523809524
0,20,6,3,3,1,1,0.508928571428571
0,20,6,1,1,1,2,0.0583333333333333
0,20,6,1,2,1,2,0.0107843137254902
0,20,6,2,1,1,2,0.0114615726343847
0,20,6,2,2,1,2,0.0603287427809862
0,20,6,2,3,1,2,8.88494002665482e-05
0,20,6,3,2,1,2,0.068452380952381
0,20,6,3,3,1,2,0.0238095238095238
0,20,6,1,1,2,1,0.0834990059642147
0,20,6,1,2,2,1,0.00795228628230616
0,20,6,2,1,2,1,0.0160179640718563
0,20,6,2,2,2,1,0.299550898203593
0,20,6,2,3,2,1,0.00449101796407186
0,20,6,3,2,2,1,0.296774193548387
0,20,6,3,3,2,1,0.403225806451613
0,20,6,1,1,2,2,0.757455268389662
0,20,6,1,2,2,2,0.151093439363817
0,20,6,2,1,2,2,0.0531437125748503
0,20,6,2,2,2,2,0.625449101796407
0,20,6,2,3,2,2,0.00134730538922156
0,20,6,3,2,2,2,0.154838709677419
0,20,6,3,3,2,2,0.145161290322581
0,20,7,0,0,0,0,0.000618429189857761
0,20,7,0,1,0,1,0.73469387755102
