"from_time","to_time","land_type","age_before","age_after","from_cover","to_cover","probability"
0,20,1,0,0,0,0,0.000136258345823682
0,20,1,0,1,0,1,0.496797928873144
0,20,1,0,1,0,2,0.502929554435209
0,20,1,0,1,0,3,0.000136258345823682
0,20,1,1,1,1,1,0.4291319274154
0,20,1,1,2,1,1,0.289847964688573
0,20,1,2,1,1,1,0.0683603713906744
0,20,1,2,2,1,1,0.705030098969493
0,20,1,2,3,1,1,0.0292827262524232
0,20,1,3,2,1,1,0.288461538461538
0,20,1,3,3,1,1,0.596153846153846
0,20,1,1,1,1,2,0.227072094163806
0,20,1,1,2,1,2,0.0539480137322217
0,20,1,2,1,1,2,0.0362207937965514
0,20,1,2,2,1,2,0.160697887970615
0,20,1,2,3,1,2,0.000408121620242832
0,20,1,3,2,1,2,0.115384615384615
0,20,1,1,1,2,1,0.0176125244618395
0,20,1,1,2,2,1,0.0140900195694716
0,20,1,2,1,2,1,0.00478719916060069
0,20,1,2,2,2,1,0.0584300609876057
0,20,1,2,3,2,1,0.000983671060397403
0,20,1,3,2,2,1,0.135514018691589
0,20,1,3,3,2,1,0.189252336448598
0,20,1,1,1,2,2,0.766340508806262
0,20,1,1,2,2,2,0.201956947162427
0,20,1,2,1,2,2,0.103875663977966
0,20,1,2,2,2,2,0.828906813561545
0,20,1,2,3,2,2,0.00288543511049905
0,20,1,3,2,2,2,0.371495327102804
0,20,1,3,3,2,2,0.303738317757009
0,20,1,2,2,2,3,0.00013115614138632
0,20,1,2,2,3,2,0.682758620689655
0,20,1,2,2,3,3,0.317241379310345
0,20,2,0,0,0,0,0.00043994720633524
0,20,2,0,1,0,1,0.520017597888253
0,20,2,0,1,0,2,0.477892652881654
0,20,2,0,1,0,3,0.00164980202375715
0,20,2,1,1,1,1,0.464545454545455
0,20,2,1,2,1,1,0.326969696969697
0,20,2,2,1,1,1,0.0802108723995238
0,20,2,2,2,1,1,0.711524290006236
0,20,2,2,3,1,1,0.0371294144322884
0,20,2,3,2,1,1,0.267241379310345
0,20,2,3,3,1,1,0.560344827586207
0,20,2,1,1,1,2,0.161515151515152
0,20,2,1,2,1,2,0.0466666666666667
0,20,2,2,1,1,2,0.042117793775863
0,20,2,2,2,1,2,0.127713848421291
0,20,2,2,3,1,2,0.00130378096479791
0,20,2,3,2,1,2,0.103448275862069
0,20,2,3,3,1,2,0.0689655172413793
0,20,2,1,1,1,3,0.000303030303030303
0,20,2,1,1,2,1,0.0127565169162507
0,20,2,1,2,2,1,0.0124792013311148
0,20,2,2,1,2,1,0.00464450207067384
0,20,2,2,2,2,1,0.0958702635754925
0,20,2,2,3,2,1,0.001509463172969
0,20,2,3,2,2,1,0.166176470588235
0,20,2,3,3,2,1,0.189705882352941
0,20,2,1,1,2,2,0.745701608430394
0,20,2,1,2,2,2,0.228785357737105
0,20,2,2,1,2,2,0.0611913147811278
0,20,2,2,2,2,2,0.826992297867399
0,20,2,2,3,2,2,0.0096760459805705
0,20,2,3,2,2,2,0.294117647058824
0,20,2,3,3,2,2,0.348529411764706
0,20,2,1,2,2,3,0.000277315585135885
0,20,2,2,2,2,3,0.000116112551766846
0,20,2,3,3,2,3,0.00147058823529412
0,20,2,2,2,3,1,0.0255813953488372
0,20,2,1,1,3,2,0.733333333333333
0,20,2,2,1,3,2,0.00116279069767442
0,20,2,2,2,3,2,0.623255813953488
0,20,2,2,3,3,2,0.0267441860465116
0,20,2,3,2,3,2,0.0769230769230769
0,20,2,3,3,3,2,0.653846153846154
0,20,2,1,1,3,3,0.266666666666667
0,20,2,2,2,3,3,0.313953488372093
0,20,2,2,3,3,3,0.00930232558139535
0,20,2,3,3,3,3,0.269230769230769
0,20,3,0,0,0,0,0.00044930357945185
0,20,3,0,1,0,1,0.65268833308372
0,20,3,0,1,0,2,0.346263291897559
0,20,3,0,1,0,3,0.000599071439269133
0,20,3,1,1,1,1,0.576354679802956
0,20,3,1,2,1,1,0.266502463054187
0,20,3,2,1,1,1,0.0903006480399448
0,20,3,2,2,1,1,0.737915648571125
0,20,3,2,3,1,1,0.0202910867948582
0,20,3,3,2,1,1,0.357142857142857
0,20,3,3,3,1,1,0.402597402597403
0,20,3,1,1,1,2,0.124137931034483
0,20,3,1,2,1,2,0.0330049261083744
0,20,3,2,1,1,2,0.0270901944119834
0,20,3,2,2,1,2,0.124189950069053
0,20,3,2,3,1,2,0.000212472113035164
0,20,3,3,2,1,2,0.162337662337662
0,20,3,3,3,1,2,0.0779220779220779
0,20,3,1,1,2,1,0.0288683602771363
0,20,3,1,2,2,1,0.00654349499615089
0,20,3,2,1,2,1,0.00912200684150513
0,20,3,2,2,2,1,0.124667426833903
0,20,3,2,3,2,1,0.00266058532877233
0,20,3,3,2,2,1,0.287671232876712
0,20,3,3,3,2,1,0.294520547945205
0,20,3,1,1,2,2,0.816782140107775
0,20,3,1,2,2,2,0.147806004618938
0,20,3,2,1,2,2,0.0643608260483973
0,20,3,2,2,2,2,0.792347649816293
0,20,3,2,3,2,2,0.0067148105916635
0,20,3,3,2,2,2,0.191780821917808
0,20,3,3,3,2,2,0.226027397260274
0,20,3,2,3,2,3,0.000126694539465349
0,20,3,2,2,3,2,0.879032258064516
0,20,3,2,2,3,3,0.120967741935484
0,20,4,0,0,0,0,0.000846919330933729
0,20,4,0,1,0,1,0.735761168748677
0,20,4,0,1,0,2,0.263180182087656
0,20,4,0,1,0,3,0.000211729832733432
0,20,4,1,1,1,1,0.658607350096712
0,20,4,1,2,1,1,0.258704061895551
0,20,4,2,1,1,1,0.124096196164728
0,20,4,2,2,1,1,0.77342030807922
0,20,4,2,3,1,1,0.015875510845646
0,20,4,3,2,1,1,0.283813747228381
0,20,4,3,3,1,1,0.636363636363636
0,20,4,1,1,1,2,0.062862669245648
0,20,4,1,2,1,2,0.019825918762089
0,20,4,2,1,1,2,0.0113957874882113
0,20,4,2,2,1,2,0.0751336057843445
0,20,4,2,3,1,2,7.85916378497328e-05
0,20,4,3,2,1,2,0.0399113082039911
0,20,4,3,3,1,2,0.0399113082039911
0,20,4,1,1,2,1,0.035778175313059
0,20,4,1,2,2,1,0.00894454382826476
0,20,4,2,1,2,1,0.0128781072177299
0,20,4,2,2,2,1,0.259808325846062
0,20,4,2,3,2,1,0.00628930817610063
0,20,4,3,2,2,1,0.256
0,20,4,3,3,2,1,0.432
0,20,4,1,1,2,2,0.754919499105546
0,20,4,1,2,2,2,0.200357781753131
0,20,4,2,1,2,2,0.0521114106019766
0,20,4,2,2,2,2,0.666816412099431
0,20,4,2,3,2,2,0.00209643605870021
0,20,4,3,2,2,2,0.12
0,20,4,3,3,2,2,0.192
0,20,5,0,0,0,0,0.000725163161711385
0,20,5,0,1,0,1,0.772298767222625
0,20,5,0,1,0,2,0.226613488034808
0,20,5,0,1,0,3,0.000362581580855693
0,20,5,1,1,1,1,0.6892797319933
0,20,5,1,2,1,1,0.238693467336683
0,20,5,2,1,1,1,0.0817071458655061
0,20,5,2,2,1,1,0.828162291169451
0,20,5,2,3,1,1,0.0211989330338341
0,20,5,3,2,1,1,0.211981566820276
0,20,5,3,3,1,1,0.76036866359447
0,20,5,1,1,1,2,0.0552763819095477
0,20,5,1,2,1,2,0.016750418760469
0,20,5,2,1,1,2,0.00954653937947494
0,20,5,2,2,1,2,0.0592447002667415
0,20,5,2,3,1,2,0.000140390284992279
0,20,5,3,2,1,2,0.0184331797235023
0,20,5,3,3,1,2,0.00921658986175115
0,20,5,1,1,2,1,0.0769230769230769
0,20,5,1,2,2,1,0.0325443786982249
0,20,5,2,1,2,1,0.0205338809034908
0,20,5,2,2,2,1,0.309768260486946
0,20,5,2,3,2,1,0.00322675271340569
0,20,5,3,2,2,1,0.3125
0,20,5,3,3,2,1,0.4375
0,20,5,1,1,2,2,0.757396449704142
0,20,5,1,2,2,2,0.133136094674556
0,20,5,2,1,2,2,0.0445878556761514
0,20,5,2,2,2,2,0.621296567908478
0,20,5,2,3,2,2,0.000586682311528307
0,20,5,3,2,2,2,0.0625
0,20,5,3,3,2,2,0.1875
0,20,6,0,0,0,0,0.000739462657135815
0,20,6,0,1,0,1,0.724919891545477
0,20,6,0,1,0,2,0.27384767069263
0,20,6,0,1,0,3,0.00049297510475721
0,20,6,1,1,1,1,0.679901960784314
0,20,6,1,2,1,1,0.251960784313725
0,20,6,2,1,1,1,0.126788094180364
0,20,6,2,2,1,1,0.784895601954687
0,20,6,2,3,1,1,0.0196357174589072
0,20,6,3,2,1,1,0.416666666666667
0,20,6,3,3,1,1,0.49702380952381
0,20,6,1,1,1,2,0.0598039215686275
0,20,6,1,2,1,2,0.00833333333333333
0,20,6,2,1,1,2,0.00915148822745446
0,20,6,2,2,1,2,0.0595290981785873
0,20,6,3,2,1,2,0.0744047619047619
0,20,6,3,3,1,2,0.0119047619047619
0,20,6,1,1,2,1,0.0695825049701789
0,20,6,1,2,2,1,0.00795228628230616
0,20,6,2,1,2,1,0.0151197604790419
0,20,6,2,2,2,1,0.298053892215569
0,20,6,2,3,2,1,0.00553892215568862
0,20,6,3,2,2,1,0.32258064516129
0,20,6,3,3,2,1,0.409677419354839
0,20,6,1,1,2,2,0.767395626242545
0,20,6,1,2,2,2,0.15506958250497
0,20,6,2,1,2,2,0.0531437125748503
0,20,6,2,2,2,2,0.625748502994012
0,20,6,2,3,2,2,0.00239520958083832
0,20,6,3,2,2,2,0.125806451612903
0,20,6,3,3,2,2,0.141935483870968
0,20,7,0,0,0,0,0.00020614306328592
0,20,7,0,1,0,1,0.734281591424449
0,20,7,0,1,0,2,0.265099979385694
0,20,7,0,1,0,3,0.000412286126571841
0,20,7,1,1,1,1,0.641594925237879
0,20,7,1,2,1,1,0.288173991844132
0,20,7,2,1,1,1,0.10713216957606
0,20,7,2,2,1,1,0.780648379052369
0,20,7,2,3,1,1,0.0195511221945137
0,20,7,3,2,1,1,0.266881028938907
0,20,7,3,3,1,1,0.659163987138264
0,20,7,1,1,1,2,0.0516538287267784
0,20,7,1,2,1,2,0.0185772541912098
0,20,7,2,1,1,2,0.00997506234413965
0,20,7,2,2,1,2,0.0826932668329177
0,20,7,3,2,1,2,0.0418006430868167
0,20,7,3,3,1,2,0.0321543408360129
0,20,7,1,1,2,1,0.0917553191489362
0,20,7,1,2,2,1,0.011968085106383
0,20,7,2,1,2,1,0.01226626776365
0,20,7,2,2,2,1,0.265370231862378
0,20,7,2,3,2,1,0.00448765893792072
0,20,7,3,2,2,1,0.355932203389831
0,20,7,3,3,2,1,0.372881355932203
0,20,7,1,1,2,2,0.700797872340426
0,20,7,1,2,2,2,0.195478723404255
0,20,7,2,1,2,2,0.0367988032909499
0,20,7,2,2,2,2,0.679281974569933
0,20,7,2,3,2,2,0.00179506357516829
0,20,7,3,2,2,2,0.135593220338983
0,20,7,3,3,2,2,0.135593220338983
0,20,8,0,0,0,0,0.00183306055646481
0,20,8,0,1,0,1,0.73342062193126
0,20,8,0,1,0,2,0.264549918166939
0,20,8,0,1,0,3,0.000196399345335516
0,20,8,1,1,1,1,0.716236722306525
0,20,8,1,2,1,1,0.216321025122239
0,20,8,2,1,1,1,0.0522555096418733
0,20,8,2,2,1,1,0.830779384756657
0,20,8,2,3,1,1,0.0436179981634527
0,20,8,3,2,1,1,0.200173310225303
0,20,8,3,3,1,1,0.73050259965338
0,20,8,1,1,1,2,0.0559770696341258
0,20,8,1,2,1,2,0.0114651829371101
0,20,8,2,1,1,2,0.00800619834710744
0,20,8,2,2,1,2,0.0648530762167126
0,20,8,2,3,1,2,0.000487832874196511
0,20,8,3,2,1,2,0.0216637781629116
0,20,8,3,3,1,2,0.0476603119584055
0,20,8,1,1,2,1,0.0901717557251908
0,20,8,1,2,2,1,0.00906488549618321
0,20,8,2,1,2,1,0.0133434676125327
0,20,8,2,2,2,1,0.185457309348873
0,20,8,2,3,2,1,0.00903639895279115
0,20,8,3,2,2,1,0.0228915662650602
0,20,8,3,3,2,1,0.264457831325301
0,20,8,1,1,2,2,0.816793893129771
0,20,8,1,2,2,2,0.083969465648855
0,20,8,2,1,2,2,0.0515159192635757
0,20,8,2,2,2,2,0.729921459336205
0,20,8,2,3,2,2,0.0106409931593615
0,20,8,3,2,2,2,0.0439759036144578
0,20,8,3,3,2,2,0.668674698795181
0,20,8,2,2,2,3,8.44523266615995e-05
0,20,8,2,2,3,1,0.0192307692307692
0,20,8,3,3,3,1,0.1
0,20,8,2,1,3,2,0.0769230769230769
0,20,8,2,2,3,2,0.807692307692308
0,20,8,3,2,3,2,0.05
0,20,8,3,3,3,2,0.85
0,20,8,2,1,3,3,0.0384615384615385
0,20,8,2,2,3,3,0.0576923076923077
0,20,9,0,0,0,0,0.00134573036457059
0,20,9,0,1,0,1,0.63004648886714
0,20,9,0,1,0,2,0.36799608514803
0,20,9,0,1,0,3,0.000611695620259359
0,20,9,1,1,1,1,0.62598167539267
0,20,9,1,2,1,1,0.239856020942408
0,20,9,2,1,1,1,0.0485372739833003
0,20,9,2,2,1,1,0.797681263891392
0,20,9,2,3,1,1,0.0494383372379408
0,20,9,3,2,1,1,0.147859922178988
0,20,9,3,3,1,1,0.778210116731518
0,20,9,1,1,1,2,0.111910994764398
0,20,9,1,2,1,2,0.0222513089005236
0,20,9,2,1,1,2,0.0136360905868925
0,20,9,2,2,1,2,0.0904066798822611
0,20,9,2,3,1,2,0.000300354418213492
0,20,9,3,2,1,2,0.0194552529182879
0,20,9,3,3,1,2,0.0544747081712062
0,20,9,1,1,2,1,0.0917874396135266
0,20,9,1,2,2,1,0.0131124913733609
0,20,9,2,1,2,1,0.00673913043478261
0,20,9,2,2,2,1,0.137391304347826
0,20,9,2,3,2,1,0.00717391304347826
0,20,9,3,2,2,1,0.00966702470461869
0,20,9,3,3,2,1,0.198711063372718
0,20,9,1,1,2,2,0.748792270531401
0,20,9,1,2,2,2,0.146307798481712
0,20,9,2,1,2,2,0.0555434782608696
0,20,9,2,2,2,2,0.779347826086957
0,20,9,2,3,2,2,0.013804347826087
0,20,9,3,2,2,2,0.0558539205155747
0,20,9,3,3,2,2,0.735767991407089
0,20,9,2,1,3,2,0.0704225352112676
0,20,9,2,2,3,2,0.732394366197183
0,20,9,3,3,3,2,1
0,20,9,2,2,3,3,0.183098591549296
0,20,9,2,3,3,3,0.0140845070422535
0,20,10,0,1,0,1,0.380942538238942
0,20,10,0,1,0,2,0.618437370814386
0,20,10,0,1,0,3,0.000620090946672179
0,20,10,1,1,1,1,0.286779524385328
0,20,10,1,2,1,1,0.46291817815397
0,20,10,2,1,1,1,0.0545403792059436
0,20,10,2,2,1,1,0.779433553069507
0,20,10,2,3,1,1,0.00549698310107148
0,20,10,3,2,1,1,0.171821305841924
0,20,10,3,3,1,1,0.450171821305842
0,20,10,1,1,1,2,0.163643692059653
0,20,10,1,2,1,2,0.086658605401048
0,20,10,2,1,1,2,0.0223314938481029
0,20,10,2,2,1,2,0.137896974512035
0,20,10,2,3,1,2,0.000300616263339847
0,20,10,3,2,1,2,0.151202749140893
0,20,10,3,3,1,2,0.22680412371134
0,20,10,1,1,2,1,0.00672478206724782
0,20,10,1,2,2,1,0.013947696139477
0,20,10,2,1,2,1,0.00284495021337127
0,20,10,2,2,2,1,0.0756647335594704
0,20,10,2,3,2,1,0.000656526972316446
0,20,10,3,2,2,1,0.0954773869346734
0,20,10,3,3,2,1,0.0686767169179229
0,20,10,1,1,2,2,0.565379825653798
0,20,10,1,2,2,2,0.413200498132005
0,20,10,2,1,2,2,0.0758835758835759
0,20,10,2,2,2,2,0.798829193566036
0,20,10,2,3,2,2,0.0456833351570194
0,20,10,3,2,2,2,0.234505862646566
0,20,10,3,3,2,2,0.601340033500838
0,20,10,1,2,2,3,0.00074719800747198
0,20,10,2,2,2,3,0.000437684648210964
0,20,10,3,3,3,1,0.00869565217391304
0,20,10,2,1,3,2,0.00828729281767956
0,20,10,2,2,3,2,0.734806629834254
0,20,10,3,2,3,2,0.0521739130434783
0,20,10,3,3,3,2,0.921739130434783
0,20,10,1,1,3,3,0.3125
0,20,10,1,2,3,3,0.6875
0,20,10,2,2,3,3,0.25414364640884
0,20,10,2,3,3,3,0.00276243093922652
0,20,10,3,3,3,3,0.0173913043478261
0,20,11,0,1,0,1,0.419812745394141
0,20,11,0,1,0,2,0.578677136816672
0,20,11,0,1,0,3,0.00151011778918756
0,20,11,1,1,1,1,0.226752175904718
0,20,11,1,2,1,1,0.455336692624828
0,20,11,2,1,1,1,0.0470004602874239
0,20,11,2,2,1,1,0.780800900117629
0,20,11,2,3,1,1,0.00675088221756252
0,20,11,3,2,1,1,0.0512820512820513
0,20,11,3,3,1,1,0.474358974358974
0,20,11,1,1,1,2,0.153000458085204
0,20,11,1,2,1,2,0.16491067338525
0,20,11,2,1,1,2,0.0183092108627832
0,20,11,2,2,1,2,0.146678259090677
0,20,11,2,3,1,2,0.000460287423924717
0,20,11,3,3,1,2,0.474358974358974
0,20,11,1,1,2,1,0.0163411717815863
0,20,11,1,2,2,1,0.0107612594659227
0,20,11,2,1,2,1,0.00186505759736698
0,20,11,2,2,2,1,0.0290729566648382
0,20,11,2,3,2,1,0.000438837081733406
0,20,11,3,2,2,1,0.155502392344498
0,20,11,3,3,2,1,0.131578947368421
0,20,11,1,1,2,2,0.567158230370666
0,20,11,1,2,2,2,0.405739338381825
0,20,11,2,1,2,2,0.0706527701590784
0,20,11,2,2,2,2,0.851892484914975
0,20,11,2,3,2,2,0.0456390565002743
0,20,11,3,2,2,2,0.155502392344498
0,20,11,3,3,2,2,0.555023923444976
0,20,11,2,2,2,3,0.000219418540866703
0,20,11,2,3,2,3,0.000219418540866703
0,20,11,3,3,2,3,0.00239234449760766
0,20,11,3,3,3,1,0.024390243902439
0,20,11,1,2,3,2,0.428571428571429
0,20,11,2,1,3,2,0.00309597523219814
0,20,11,2,2,3,2,0.594427244582043
0,20,11,3,2,3,2,0.0487804878048781
0,20,11,3,3,3,2,0.804878048780488
0,20,11,1,1,3,3,0.114285714285714
0,20,11,1,2,3,3,0.457142857142857
0,20,11,2,2,3,3,0.402476780185758
0,20,11,3,3,3,3,0.121951219512195
0,20,12,0,1,0,1,0.389115346480115
0,20,12,0,1,0,2,0.609452462267269
0,20,12,0,1,0,3,0.0014321912526165
0,20,12,1,1,1,1,0.313323572474378
0,20,12,1,2,1,1,0.358223523670083
0,20,12,2,1,1,1,0.0575481632905903
0,20,12,2,2,1,1,0.696566107084598
0,20,12,2,3,1,1,0.00454273266018295
0,20,12,3,2,1,1,0.2
0,20,12,3,3,1,1,0.379661016949153
0,20,12,1,1,1,2,0.198552139254921
0,20,12,1,2,1,2,0.129900764600618
0,20,12,2,1,1,2,0.0356398025976171
0,20,12,2,2,1,2,0.204629457556423
0,20,12,2,3,1,2,0.0010737368105887
0,20,12,3,2,1,2,0.250847457627119
0,20,12,3,3,1,2,0.169491525423729
0,20,12,1,1,2,1,0.00378020791143513
0,20,12,1,2,2,1,0.00135007425408397
0,20,12,2,1,2,1,0.00428410372040586
0,20,12,2,2,2,1,0.03702868595766
0,20,12,2,3,2,1,0.000851810096454967
0,20,12,3,2,2,1,0.031813361611877
0,20,12,3,3,2,1,0.129374337221633
0,20,12,1,1,2,2,0.525313892264075
0,20,12,1,2,2,2,0.464965573106521
0,20,12,2,1,2,2,0.0947763998496806
0,20,12,2,2,2,2,0.84970562445196
0,20,12,2,3,2,2,0.0129274708756107
0,20,12,3,2,2,2,0.142099681866384
0,20,12,3,3,2,2,0.695652173913043
0,20,12,1,1,2,3,0.000135007425408397
0,20,12,1,2,2,3,0.00445524503847712
0,20,12,2,2,2,3,0.000425905048227483
0,20,12,3,3,2,3,0.00106044538706257
0,20,12,2,2,3,1,0.00290084388185654
0,20,12,2,3,3,1,0.000263713080168776
0,20,12,1,1,3,2,0.072
0,20,12,1,2,3,2,0.208
0,20,12,2,1,3,2,0.00210970464135021
0,20,12,2,2,3,2,0.515822784810127
0,20,12,2,3,3,2,0.0432489451476793
0,20,12,3,2,3,2,0.15
0,20,12,3,3,3,2,0.710714285714286
0,20,12,1,1,3,3,0.08
0,20,12,1,2,3,3,0.64
0,20,12,2,1,3,3,0.00290084388185654
0,20,12,2,2,3,3,0.411919831223629
0,20,12,2,3,3,3,0.0208333333333333
0,20,12,3,3,3,3,0.139285714285714
0,20,13,0,0,0,0,9.47149081265391e-05
0,20,13,0,1,0,1,0.490623224095473
0,20,13,0,1,0,2,0.508334911915135
0,20,13,0,1,0,3,0.000947149081265391
0,20,13,1,1,1,1,0.346837656659866
0,20,13,1,2,1,1,0.414893617021277
0,20,13,2,1,1,1,0.0465503875968992
0,20,13,2,2,1,1,0.750426356589147
0,20,13,2,3,1,1,0.00705426356589147
0,20,13,3,2,1,1,0.1796875
0,20,13,3,3,1,1,0.515625
0,20,13,1,1,1,2,0.137714951909064
0,20,13,1,2,1,2,0.100553774409793
0,20,13,2,1,1,2,0.0258914728682171
0,20,13,2,2,1,2,0.169806201550388
0,20,13,2,3,1,2,0.000271317829457364
0,20,13,3,2,1,2,0.16015625
0,20,13,3,3,1,2,0.14453125
0,20,13,1,1,2,1,0.00904576090812345
0,20,13,1,2,2,1,0.00407946080170273
